Data Year,Net Electricity Emissions,Natural Gas Emissions,Fuel Oil 1 Emissions,Fuel Oil 2 Emissions,Fuel Oil 4 Emissions,Fuel Oil 5 and 6 Emissions,Diesel #2 Emissions,Propane Emissions,Kerosene Emissions,District Chilled Water Emissions,District Hot Water Emissions,District Steam Emissions
2015,100.04,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2016,94.94,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2017,89.58,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2018,87.59,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2019,82.26,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2020,83.82,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2021,85.19,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2022,63.3,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2023,60.1,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2024,57.0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2025,53.3,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2026,49.6,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2027,46.1,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2028,42.6,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2029,39.3,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2030,37.5,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2031,35.6,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2032,33.8,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2033,32.1,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2034,30.4,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2035,28.7,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2036,27.1,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2037,25.3,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2038,23.8,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2039,22.3,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2040,20.8,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2041,19.4,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2042,18.0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2043,16.7,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2044,15.4,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2045,14.1,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2046,12.8,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2047,11.7,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2048,10.5,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2049,9.4,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2050,8.3,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
